Labels,050922_CdSeCdZnS_Shell Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,720.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

658.00,-1.60475494E-3,
659.00,-2.34404299E-3,
660.00,-2.33578519E-3,
661.00,-2.73182150E-3,
662.00,-2.89115426E-3,
663.00,-3.42536625E-3,
664.00,-3.85421864E-3,
665.00,-2.45004147E-3,
666.00,-1.28254108E-3,
667.00,-2.11556256E-3,
668.00,-1.69183814E-3,
669.00,-9.94923175E-4,
670.00,-2.37210793E-3,
671.00,-2.48184032E-3,
672.00,-2.82992399E-3,
673.00,-2.63450854E-3,
674.00,-2.02839705E-3,
675.00,-2.42732535E-3,
676.00,-2.10894155E-3,
677.00,-2.02565896E-3,
678.00,-2.09979014E-3,
679.00,-2.20811320E-3,
680.00,-1.56812894E-3,
681.00,-2.30723876E-3,
682.00,-3.33592971E-3,
683.00,-2.59031705E-3,
684.00,-1.90282357E-3,
685.00,-1.75444793E-3,
686.00,-2.37239851E-3,
687.00,-2.55371979E-3,
688.00,-2.32385797E-3,
689.00,-2.99933599E-3,
690.00,-3.39808897E-3,
691.00,-2.99593969E-3,
692.00,-2.91577517E-3,
693.00,-3.17543489E-3,
694.00,-2.82987836E-3,
695.00,-3.00387456E-3,
696.00,-2.73482781E-3,
697.00,-3.04259034E-3,
698.00,-2.91177584E-3,
699.00,-2.61351839E-3,
700.00,-1.67936727E-3,
701.00,-2.45339796E-3,
702.00,-2.28505302E-3,
703.00,-1.86116877E-3,
704.00,-1.73006346E-3,
705.00,-1.52199646E-3,
706.00,-2.16864841E-3,
707.00,-1.73846004E-3,
708.00,-1.07451878E-3,
709.00,-2.25967728E-3,
710.00,-3.28742643E-3,
711.00,-3.85193154E-3,
712.00,-3.48588848E-3,
713.00,-3.44977831E-3,
714.00,-3.96141736E-3,
715.00,-3.47389351E-3,
716.00,-2.54532276E-3,
717.00,-2.36528716E-3,
718.00,-2.50782166E-3,
719.00,-2.23210361E-3,
720.00,-1.76807621E-3,
