Labels,050922-45dk Absorbance (T),
Type,Transmission Scan,
Comment,,
Start,300.00,
Stop,720.00,
Step,1.00,
Fixed/Offset,n/a,
Xaxis,Wavelength,
Yaxis,Absorbance,
Scan Corr. by File,False,
Corr. by Ref. Det.,True,
Fixed/Offset Corr. by File,n/a,
Repeats,1,
Dwell Time,0.20,
Lamp,Xenon,
Temp,0.00,
Scan Polariser,None,
Scan Slit,1.00,
Fixed/Offset Polariser,n/a,
Fixed/Offset Slit,n/a,
Detector,Reference Det,

652.00,-1.83949154E-2,
653.00,-1.82515197E-2,
654.00,-1.87022667E-2,
655.00,-1.83728244E-2,
656.00,-1.91343855E-2,
657.00,-1.91091523E-2,
658.00,-1.78184975E-2,
659.00,-1.94250904E-2,
660.00,-1.95599403E-2,
661.00,-1.95543896E-2,
662.00,-1.97797250E-2,
663.00,-1.84573028E-2,
664.00,-1.82716083E-2,
665.00,-1.84258707E-2,
666.00,-1.88891571E-2,
667.00,-1.84989329E-2,
668.00,-1.86098460E-2,
669.00,-1.86891742E-2,
670.00,-1.88489538E-2,
671.00,-1.97810531E-2,
672.00,-2.05812976E-2,
673.00,-2.00951584E-2,
674.00,-2.03575697E-2,
675.00,-2.00536493E-2,
676.00,-1.92283671E-2,
677.00,-1.97801925E-2,
678.00,-1.96708031E-2,
679.00,-2.00201515E-2,
680.00,-1.76030938E-2,
681.00,-1.85402464E-2,
682.00,-1.96867697E-2,
683.00,-1.81930251E-2,
684.00,-1.83706805E-2,
685.00,-1.85050555E-2,
686.00,-1.85608175E-2,
687.00,-1.87994651E-2,
688.00,-1.92415453E-2,
689.00,-1.96229611E-2,
690.00,-1.95285846E-2,
691.00,-2.04591416E-2,
692.00,-2.04801001E-2,
693.00,-2.05200743E-2,
694.00,-2.02408023E-2,
695.00,-2.16853563E-2,
696.00,-2.02298444E-2,
697.00,-2.04176772E-2,
698.00,-2.08262354E-2,
699.00,-2.10537910E-2,
700.00,-2.14891769E-2,
701.00,-2.09694449E-2,
702.00,-2.09672526E-2,
703.00,-2.08056401E-2,
704.00,-2.06609461E-2,
705.00,-2.06492729E-2,
706.00,-2.05573589E-2,
707.00,-1.91085879E-2,
708.00,-1.89005267E-2,
709.00,-1.92480851E-2,
710.00,-1.95524469E-2,
711.00,-1.91548578E-2,
712.00,-1.97421256E-2,
713.00,-2.04762798E-2,
714.00,-2.10396200E-2,
715.00,-2.16534659E-2,
716.00,-2.16023289E-2,
717.00,-2.14991011E-2,
718.00,-2.17907745E-2,
719.00,-2.18910743E-2,
720.00,-2.09258497E-2,
